Date,Adj
2013-03-01,9.880267
2013-04-01,11.763121
2013-05-01,11.984565
2013-06-01,12.383291
2013-07-01,12.456315
2013-08-01,12.943604
2013-09-01,13.275885
2013-10-01,16.144098
2013-11-01,16.037579
2013-12-01,15.540504
2014-01-01,15.206722
2014-02-01,15.031487
2014-03-01,17.119343
2014-04-01,19.929777
2014-05-01,20.186934
2014-06-01,22.945421
2014-07-01,20.928249
2014-08-01,21.160227
2014-09-01,20.171772
2014-10-01,21.144419
2014-11-01,22.667076
2014-12-01,21.653736
2015-01-01,20.785868
2015-02-01,23.233416
2015-03-01,23.742729
2015-04-01,26.641998
2015-05-01,25.344931
2015-06-01,38.144753
2015-07-01,40.040092
2015-08-01,38.666664
2015-09-01,31.762878
2015-10-01,33.833282
2015-11-01,22.569626
2015-12-01,21.592581
2016-01-01,21.772528
2016-02-01,19.934055
2016-03-01,22.428274
2016-04-01,26.162363
2016-05-01,24.79561
2016-06-01,26.44351
2016-07-01,28.700468
2016-08-01,26.232649
2016-09-01,25.389206
2016-10-01,25.554651
2016-11-01,23.440905
2016-12-01,21.997538
2017-01-01,20.893293
2017-02-01,21.61791
2017-03-01,22.434193
2017-04-01,23.087229
2017-05-01,21.85144
2017-06-01,23.566219
2017-07-01,25.124771
2017-08-01,21.591902
2017-09-01,21.158716
2017-10-01,21.889906
2017-11-01,22.39852
2017-12-01,23.004942
2018-01-01,23.641226
2018-02-01,23.778849
2018-03-01,20.947798
